anime_id,name,genre
94,Mobile Suit Gundam SEED Destiny,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space"
95,Turn A Gundam,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
96,Mobile Fighter G Gundam,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports"
97,Last Exile,"Action, Sci-Fi, Adventure"
98,Mai-HiME,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai"
99,Mai-Otome,"Comedy, Drama, Fantasy, Magic"
100,Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power"
101,Air,"Slice of Life, Supernatural, Drama, Romance"
102,Aishiteruze Baby★★,"Comedy, Drama, Romance, Shoujo"
104,Ayashi no Ceres,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo"
105,Boys Be...,"Slice of Life, Comedy, Romance, Shounen"
106,Hana yori Dango,"Drama, Romance, School, Shoujo"
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen"
109,Bakuretsu Tenshi,"Adventure, Comedy, Mecha, Sci-Fi"
113,Uchuu no Stellvia,"Action, Mecha, Romance, Sci-Fi, Space"
114,Sakigake!! Cromartie Koukou,"Comedy, School, Shounen"
119,Final Approach,"Comedy, Drama, Romance, Slice of Life"
120,Fruits Basket,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo"
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
122,Full Moon wo Sagashite,"Music, Comedy, Supernatural, Drama, Romance, Shoujo"
123,Fushigi Yuugi,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo"
125,Futakoi,"Comedy, Romance, School"
126,Futakoi Alternative,"Comedy, Drama, Romance"
127,Gate Keepers,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen"
129,Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural"
130,Saiyuuki Reload,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural"
132,GetBackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural"
133,Green Green,"Comedy, Ecchi, Romance, School, Slice of Life"
134,Gunslinger Girl,"Action, Psychological, Military, Drama, Sci-Fi"
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural"
136,Hunter x Hunter,"Action, Adventure, Super Power, Fantasy, Shounen"
137,Hunter x Hunter: Original Video Animation,"Action, Adventure, Super Power, Shounen"
138,Hunter x Hunter: Greed Island,"Action, Adventure, Super Power, Fantasy, Shounen"
